Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
09/05/2020,11.6,0.1,0.6,6.9,16.4,13.2,13.6,12,9.1,6.8,7.7,11.9,11.2,16.7,2.9,6.3,8,6.9,0,0,0,0,0.2,0.2,0.6,1.3,0.1,0.1,0.2,0.1,0.1,0,0,0.1,0.4,0.3,0.8,0.7,1.1,1,3.4,0.6,0.6,0.8,0.1,0.9,0.3,0.5,313,3,16.4,38,90.9,60.3,45.9,37.4,23.9,10.6,6.1,164.4,147.9,129.4,5.3,49.4,72,8.3,0,0,0.1,0,0.6,0.4,0.9,1,1.3,1.7,1.3,0.1,1.1,0.4,0,0.6,2.3,1.6,2.7,2.1,2.9,1.6,2.7,8.6,7.9,5.9,0.1,6.9,3,0.6
07/02/2020,8,0.3,0.8,3.3,12.8,9.5,9.3,7.6,6.2,4.7,8.6,8.4,7.6,9.7,1.7,6.2,4.7,4.5,0,0,0,0.3,0.1,0.5,1.2,3.6,0.3,0.3,0.3,0,0.3,0.3,0,0.2,0.5,0.2,0.6,1,1.7,1.3,4.8,0.7,0.8,0.9,0.3,1.1,0.4,0.4,217.6,7.4,20.4,17.9,70.9,43.1,31.3,23.9,16.4,7.3,6.9,117,99.7,75.6,3.1,48.4,42,5.4,0,0,0.1,0.9,0.4,1.3,1.9,2.9,4,3.4,2.4,0,2.7,2.3,0,0.9,2.9,1,2.1,3.3,4.4,2,3.9,10.1,10.3,6.9,0.6,9,3.3,0.4
07/03/2020,7.8,0.2,0.8,3.1,12.6,9,9.2,7.3,6.2,4.5,7.9,8.3,7.3,9.2,1.5,6.2,4.5,5.3,0,0,0,0.2,0.1,0.6,0.9,2.9,0.3,0.2,0.3,0,0.3,0.1,0,0.2,0.5,0.2,0.8,1,1.6,1.3,4.3,0.7,0.8,0.8,0.2,1.2,0.4,0.2,211.6,6.3,20.4,17.3,69.7,41.3,30.9,22.9,16.3,7,6.3,115,95.7,71.7,2.7,48.9,40.6,6.3,0,0,0,0.6,0.4,1.6,1.4,2.3,3.6,2.7,2.4,0,2.6,1.3,0,1.1,3,1,2.6,3.1,4.1,2,3.4,10.3,10.1,6.6,0.3,9.1,3.7,0.3
09/03/2020,11.7,0.1,0.6,7.1,16.9,12.5,13.8,12.6,9.1,7.3,6.6,12,11.3,16.6,2.9,6.3,8.1,8.3,0,0,0,0,0.2,0.2,0.6,1.1,0.1,0.1,0.2,0.2,0.1,0.1,0,0.2,0.4,0.3,0.8,0.6,1.1,1,3,0.5,0.7,0.7,0.1,0.9,0.3,0.6,315.9,3.3,16,38.9,93.6,56.9,46.6,39.4,24,11.3,5.3,166.4,149,129,5.1,49.4,73.1,9.9,0,0,0.1,0,0.7,0.6,1,0.9,1.9,1.4,1.4,0.3,1,0.6,0,1,2.1,1.6,2.6,1.9,2.9,1.6,2.4,7.3,8.7,5.1,0.1,7,2.7,0.7
10/29/2020,48.7,0.2,1.7,29.3,64.2,61.4,62.5,47.9,35.9,29.8,27,49.5,47.6,59.3,18.3,23.5,32.2,53.2,0,0,0,0.1,0,0.7,1,2.9,0.2,0.3,0.3,0,0.2,0.2,0,0.3,0.6,1,1.3,2.1,3.6,5.7,9.3,1.7,1.7,1.8,0.8,2.1,1.3,1.1,1318.4,6.1,46.6,160.7,355.1,280.1,210.3,149.9,94.3,46.3,21.6,686.6,627.9,460.7,32.9,184.6,289.4,63.6,0,0,0,0.4,0.1,1.7,1.6,2.3,2.6,3.6,2.3,0,1.6,2.1,0,1.9,3.6,4.6,4.3,6.4,9.6,8.9,7.4,23.7,22.9,14.3,1.4,16.7,12,1.3
10/30/2020,53.2,0.2,1.8,32.1,69.9,67.5,67.3,52.9,39.1,32.2,30.5,53.7,52.4,66.9,18.8,24.8,33.5,59.3,0,0,0,0.1,0.1,0.7,1.1,2.1,0.2,0.3,0.3,0,0.2,0.2,0,0.4,0.7,1.1,1.4,2,3.3,6.1,11.1,1.7,1.9,1.9,0.9,2.3,1.3,1.3,1440,6.1,48.9,176,386.7,308.1,226.4,165.6,102.7,50,24.4,744.7,691.4,519.9,33.9,194.1,301.4,70.9,0,0,0,0.4,0.4,1.9,1.7,1.7,2.4,3.7,2,0,1.9,2.1,0,2,4.1,4.9,4.9,6.1,8.6,9.4,8.9,24.1,24.7,14.6,1.6,18.1,12,1.6
10/31/2020,54.2,0.3,1.9,32.8,71.2,68.3,68.5,53.9,40.5,32.3,30.4,54.5,53.5,67.1,19.9,25.2,33.7,61.8,0,0,0,0.1,0.2,0.8,1.4,1.8,0.2,0.3,0.3,0.1,0.2,0.2,0,0.4,0.7,0.9,1.5,2.2,3.6,6.1,11.1,1.8,2,1.8,0.9,2.4,1.4,1.6,1465.9,6.9,50.1,179.9,393.9,311.9,230.4,168.7,106.6,50.1,24.3,755.3,706.6,520.9,35.9,197.7,303.6,73.9,0,0,0.1,0.4,0.7,2,2.1,1.4,2.4,4.4,2.6,0.1,1.9,2.1,0,2.1,4,4.3,5,6.9,9.4,9.4,8.9,24.3,25.9,14.3,1.6,19,12.4,1.9
11/01/2020,55.2,0.2,1.9,33,72.3,69.1,70.7,55.2,41.3,33.9,32.3,55.6,54.6,68.1,21.4,25.5,34.2,62.8,0,0,0,0,0.2,0.7,1.2,2,0.2,0.3,0.3,0.1,0.2,0.2,0,0.4,0.8,0.9,1.5,2.1,3.8,6.9,12,1.8,2.1,2,1,2.5,1.4,1.6,1494.6,6.3,52.7,181.3,400,315.4,237.7,172.9,108.6,52.7,25.9,770.4,720,528.6,38.4,199.9,308,75,0,0,0.1,0.1,0.7,1.9,1.9,1.6,2.3,4,2.4,0.1,1.6,2,0,2.1,4.6,4,5,6.6,10,10.7,9.6,25.3,27.4,15.9,1.7,19.4,12.7,1.9
11/02/2020,59.3,0.3,1.9,35.1,76.2,75.5,75.5,61.2,45.1,34.4,37,59.8,58.5,72.7,21.7,26.6,36.3,66.8,0,0,0,0,0.2,0.8,1.5,2.3,0.2,0.4,0.3,0.2,0.3,0.3,0,0.4,0.8,0.9,1.7,2.1,3.8,6.5,11.4,1.8,2,1.9,1,2.7,1.4,1.4,1606,7.3,52.6,192.4,421.4,344.7,254.1,191.6,118.6,53.4,29.6,828.4,772.6,564.3,39,208.3,326.9,79.9,0,0,0.1,0.1,0.7,2.1,2.3,1.9,2.6,4.7,2,0.3,2.3,2.6,0,2.3,4.4,4.3,5.6,6.6,10,10.1,9.1,25.6,27,14.6,1.7,21,12.3,1.7
11/03/2020,62,0.3,2,36.6,78.7,78.9,79.7,65.1,47,35.6,39.1,62.3,61.4,74.8,23.4,26.8,38.5,68,0,0,0,0,0.3,0.9,1.7,2.7,0.2,0.5,0.3,0.2,0.4,0.3,0,0.4,1,1.1,1.7,2.1,4.1,6.5,11.6,1.8,2.3,2.1,1.1,2.7,1.3,1.4,1678.1,8.6,55.1,201,435.1,360,268,203.7,123.6,55.3,31.3,863.3,810.1,581.3,42,210,346.1,81.3,0,0,0.1,0.1,1,2.4,2.7,2.1,2.6,6,2.1,0.3,2.9,3.1,0,2.1,5.4,5,5.7,6.4,10.9,10.1,9.3,25.3,29.7,16.4,2,21.4,12.1,1.7
11/04/2020,66.1,0.3,2.1,39,84.9,83.9,82.9,69.3,50.4,38.7,40.7,66.1,65.6,79.3,25.3,28.8,41.9,70.7,0,0,0,0,0.3,0.8,1.7,3.6,0.2,0.4,0.3,0.2,0.3,0.4,0,0.4,0.9,1,1.7,2.5,4.3,6.9,11.3,1.8,2.3,2.3,1,2.7,1.4,1.6,1787.6,8.6,56.1,214,469.6,382.9,279,216.9,132.4,60.1,32.6,916.9,865.3,616.1,45.4,225.6,377,84.4,0,0,0.1,0,0.9,2,2.7,2.9,3.1,5.4,2.4,0.3,2.6,3.3,0,2.1,5,4.4,5.6,7.9,11.3,10.7,9,25,31,17.7,1.9,21.1,12.3,1.9
11/06/2020,74.8,0.4,2.2,43.8,98.9,95.3,91.9,78.6,56.9,40,44.1,75.5,73.5,89.4,27.4,33.2,46.4,82,0,0,0.1,0,0.3,0.8,1.6,4.5,0.3,0.5,0.4,0.2,0.4,0.3,0.1,0.4,0.9,0.7,2,3.5,4.6,7.4,10.5,2,2.5,2.3,1.2,3,1.4,2.2,2024.3,9.7,60.3,240.3,546.7,434.9,309.1,246,149.6,62.1,35.3,1046.1,970.7,694.4,49.3,260.7,417.6,98,0,0,0.4,0.1,1,2.1,2.4,3.6,3.6,6.1,3,0.3,3,3.1,0.1,2.1,4.7,3.3,6.9,11,12.1,11.6,8.4,27.1,33,18.1,2.1,23.7,12.4,2.6
11/07/2020,77.5,0.4,2.3,44.9,102.2,98.9,96,81.3,58.3,41.4,49.1,78.4,76,93.9,27.5,34.1,48,83,0,0,0.1,0.1,0.3,0.8,1.4,5.4,0.3,0.4,0.3,0.1,0.4,0.4,0.1,0.4,0.8,0.8,2.2,3.7,4.6,7.4,12.9,2.1,2.5,2.5,1.4,3.1,1.5,1.9,2097.3,10.1,63.3,246.7,565,451.3,323,254.3,153.3,64.3,39.3,1087.1,1002.9,729,49.4,267.7,431.6,99.1,0,0,0.4,0.3,0.9,2.1,2.1,4.3,4.6,5.6,2.7,0.1,3.3,3.7,0.1,2,4.6,3.9,7.4,11.6,12.1,11.4,10.3,29.6,33.6,19.6,2.4,24.4,13.1,2.3
11/10/2020,90.7,0.4,2.8,52.7,118.6,112.4,113.8,96.6,70.9,52.1,55,91.1,89.5,113.2,30.2,41,55.5,96.6,0,0,0.1,0.1,0.3,0.7,2,5.2,0.4,0.4,0.5,0,0.4,0.4,0.1,0.4,0.6,0.9,2.4,4.6,5.9,9.7,14.3,2.6,2.9,2.9,1.4,3.8,1.7,2.3,2454.9,10.9,74.6,289.4,655.6,513,382.9,302.3,186.6,81,44,1263.4,1181.3,879.3,54.3,321.9,499.3,115.4,0,0.1,0.4,0.4,0.9,1.7,3.1,4.1,5.1,5.7,3.9,0,3.3,3.4,0.1,2.3,3.6,4.3,8.1,14.3,15.4,15.1,11.4,36.6,38,22.6,2.4,29.7,15.3,2.7
11/11/2020,90.6,0.4,2.9,51.7,117.8,110.9,113.6,98.1,73.2,51.6,59.3,91.3,89,106.8,30.4,41.2,54.7,99.6,0,0,0.1,0.1,0.3,0.9,1.9,4.6,0.4,0.5,0.5,0,0.4,0.4,0.1,0.3,0.8,1,2.5,4.2,6.2,10.2,16.4,2.8,2.9,2.8,1.4,4,1.9,2,2451,11,77.7,284,651.4,505.9,382.3,307.1,192.6,80.1,47.4,1264.9,1175.3,829.7,54.7,323.3,492.1,119,0,0.1,0.4,0.4,1,2.3,3,3.7,4.9,6.1,3.9,0,3.4,3.4,0.1,1.9,4.3,4.6,8.3,13.3,16.4,15.9,13.1,39.1,38.6,22,2.6,31.4,17.1,2.4
