Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60653,01/09/2021,74,663,56,589,0.018,18,74,0.002,33154,POINT (-87.611244 41.819261),60653-20210109
60707,02/02/2021,67,937,46,764,0.018,21,173,0.004,43093,POINT (-87.808283 41.921777),60707-20210202
60601,01/03/2021,5,429,5,429,0.028,0,0,0,15083,POINT (-87.622844 41.886262),60601-20210103
60607,12/23/2020,108,953,108,953,0.033,0,0,0,29293,POINT (-87.652727 41.876104),60607-20201223
60649,01/11/2021,83,697,69,633,0.014,14,64,0.001,46633,POINT (-87.571522 41.762202),60649-20210111
60619,12/21/2020,18,67,18,67,0.001,0,0,0,61207,POINT (-87.60569 41.744737),60619-20201221
60622,01/15/2021,124,4628,115,3342,0.063,9,1286,0.024,53294,POINT (-87.681818 41.902762),60622-20210115
60643,12/23/2020,30,301,30,301,0.006,0,0,0,48887,POINT (-87.662381 41.700445),60643-20201223
60651,01/13/2021,46,623,29,530,0.008,17,93,0.001,63492,POINT (-87.741017 41.901964),60651-20210113
60606,01/12/2021,19,247,4,165,0.05,15,82,0.025,3287,POINT (-87.63676 41.882634),60606-20210112
60655,01/03/2021,12,668,12,668,0.023,0,0,0,28569,POINT (-87.701434 41.696456),60655-20210103
60609,12/27/2020,0,182,0,182,0.003,0,0,0,60939,POINT (-87.653382 41.812017),60609-20201227
60661,01/11/2021,57,860,7,608,0.059,50,252,0.024,10354,POINT (-87.644283 41.882786),60661-20210111
60641,12/29/2020,79,563,79,563,0.008,0,0,0,69880,POINT (-87.746791 41.946682),60641-20201229
60605,01/13/2021,160,3263,62,2127,0.073,98,1136,0.039,29060,POINT (-87.623449 41.867824),60605-20210113
60643,01/24/2021,31,2460,31,2049,0.042,0,411,0.008,48887,POINT (-87.662381 41.700445),60643-20210124
60633,01/31/2021,2,417,2,344,0.027,0,73,0.006,12689,POINT (-87.556037 41.653147),60633-20210131
60602,01/22/2021,22,196,22,152,0.133,0,44,0.038,1145,POINT (-87.628309 41.883136),60602-20210122
60707,01/07/2021,14,168,7,159,0.004,7,9,0,43093,POINT (-87.808283 41.921777),60707-20210107
60827,01/11/2021,1,20,1,18,0.001,0,2,0,28483,POINT (-87.633087 41.650765),60827-20210111
60653,12/31/2020,9,399,9,399,0.012,0,0,0,33154,POINT (-87.611244 41.819261),60653-20201231
60602,02/10/2021,15,407,10,312,0.272,5,95,0.083,1145,POINT (-87.628309 41.883136),60602-20210210
60614,01/05/2021,179,2167,170,2146,0.03,9,21,0,71954,POINT (-87.652064 41.922605),60614-20210105
60601,12/19/2020,43,139,43,139,0.009,0,0,0,15083,POINT (-87.622844 41.886262),60601-20201219
60605,01/02/2021,18,1567,18,1567,0.054,0,0,0,29060,POINT (-87.623449 41.867824),60605-20210102
60666,01/17/2021,0,1,0,1,0,0,0,0,0,POINT (-87.896371 41.979511),60666-20210117
60656,01/25/2021,55,1139,42,872,0.031,13,267,0.009,28218,POINT (-87.817934 41.974566),60656-20210125
60827,02/02/2021,7,91,5,76,0.003,2,15,0.001,28483,POINT (-87.633087 41.650765),60827-20210202
60620,12/18/2020,38,54,38,54,0.001,0,0,0,67711,POINT (-87.651656 41.740873),60620-20201218
60628,01/06/2021,29,426,28,424,0.007,1,2,0,64254,POINT (-87.621537 41.694192),60628-20210106
60625,12/16/2020,4,4,4,4,0,0,0,0,79444,POINT (-87.701816 41.971155),60625-20201216
60652,01/18/2021,28,914,20,760,0.017,8,154,0.004,43447,POINT (-87.714238 41.745398),60652-20210118
60656,01/23/2021,44,1067,39,816,0.029,5,251,0.009,28218,POINT (-87.817934 41.974566),60656-20210123
60608,01/07/2021,111,1284,64,1214,0.015,47,70,0.001,80059,POINT (-87.670366 41.849879),60608-20210107
60606,12/28/2020,5,97,5,97,0.03,0,0,0,3287,POINT (-87.63676 41.882634),60606-20201228
60602,12/25/2020,0,30,0,30,0.026,0,0,0,1145,POINT (-87.628309 41.883136),60602-20201225
60651,12/18/2020,28,33,28,33,0.001,0,0,0,63492,POINT (-87.741017 41.901964),60651-20201218
